date,universe_size,spx_close,up_4pct,down_4pct,ratio_5d,ratio_10d,up_25pct_qtr,down_25pct_qtr,up_25pct_month,down_25pct_month,up_50pct_month,down_50pct_month,t2108,pct_above_200sma,pct_above_50sma,pct_above_20sma,advances,declines,new_highs,new_lows,ad_line,mcclellan_osc
2026-03-16,2483,6699.3798828125,175,34,5.1471,5.1471,300,253,69,63,14,1,29.4,53.2,32.18,24.77,1746,714,115,80,1032,0.0
2026-03-17,2490,6716.08984375,145,38,4.4444,4.4444,324,223,83,58,16,2,32.09,53.73,33.9,29.08,1614,847,150,55,1799,-13.25
2026-03-18,2473,6624.7001953125,44,249,1.134,1.134,338,245,71,70,15,2,26.28,50.87,28.22,22.4,433,2022,96,110,210,-142.31
2026-03-19,2478,6606.490234375,100,108,1.0816,1.0816,359,238,68,71,15,2,27.24,50.69,28.69,24.82,1261,1184,104,84,287,-168.65
2026-03-20,2461,6506.47998046875,15,366,0.6025,0.6025,307,281,59,127,14,1,19.42,47.87,22.06,16.09,406,2038,54,138,-1345,-275.77
2026-03-23,2483,6581.0,445,43,0.9316,1.1026,324,255,85,78,15,0,25.82,51.71,27.67,26.5,2024,442,74,57,237,-205.29
2026-03-24,2483,6556.3701171875,165,166,0.8251,1.0847,323,302,70,92,20,1,27.39,52.24,29.44,29.96,1353,1100,135,107,490,-210.44
2026-03-25,2490,6591.89990234375,205,37,1.2917,1.243,351,275,71,69,18,1,30.76,53.01,32.25,36.79,1711,748,135,72,1453,-178.3
2026-03-26,2480,6477.16015625,52,319,0.9474,0.9897,326,290,72,110,19,1,26.98,51.21,28.51,32.98,862,1594,122,86,721,-234.68
2026-03-27,2466,6368.85009765625,55,334,1.0256,0.827,312,345,69,118,15,2,22.55,48.01,24.21,23.44,487,1952,126,161,-744,-318.36
2026-03-30,2466,6343.72021484375,35,245,0.465,0.6619,271,327,49,133,5,2,21.65,47.65,24.05,25.39,1168,1276,65,100,-852,-320.46
2026-03-31,2481,6528.52001953125,800,21,1.1998,1.0148,337,268,62,46,13,0,30.39,52.52,30.75,46.03,2122,340,76,13,930,-226.15
2026-04-01,2489,6575.31982421875,168,85,1.1056,1.1833,378,255,44,43,12,1,34.71,53.64,34.59,54.96,1562,895,100,35,1597,-200.14
2026-04-02,2501,6582.68994140625,138,42,1.6451,1.2533,363,254,58,40,17,0,37.78,54.02,36.75,60.34,1457,1004,156,18,2050,-187.6
2026-04-03,2501,6582.68994140625,138,42,2.9402,1.6499,363,254,58,40,17,0,37.86,54.06,36.83,60.42,1457,1004,156,18,2503,-175.94
2026-04-06,2498,6611.830078125,101,56,5.4675,1.3786,340,267,71,23,16,1,41.91,54.6,40.31,65.29,1546,910,129,7,3139,-155.95
2026-04-07,2507,6616.85009765625,61,72,2.0404,1.399,251,224,43,19,13,0,33.39,42.96,31.39,50.1,1144,1332,103,18,2951,-179.27
2026-04-08,2513,6782.81005859375,732,80,4.0068,1.7593,383,276,70,23,12,1,57.82,59.61,54.64,79.39,2046,446,207,16,4551,-108.91
2026-04-09,2517,6824.66015625,124,160,2.8195,2.0686,383,292,78,27,17,0,59.87,60.47,56.26,77.23,1470,1016,293,42,5005,-105.51
